Main URL,Record ID,Main Title,Publication Place,Publisher,Publication Date,Physical Description,Topical Subject,Resource URL,Alternative URL,Subtitle,Responsibility,Personal Author,Corporate Author,Abstract/Summary,Bibliography Note,Variant Title,Subject Source,System Control Number,Material Type,Language,ISSN/ISBN,Ilo Name,Leader (Format),Year
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992315143402676,992315143402676,Bulgarian law on compulsory labour.,Geneva :,"ILO,",1920.,13 p.,labour legislation,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C3_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_C3_engl.pdf,,,,International Labour Organisation.,"Study of the Bulgarian labour legislation on compulsory civic service (forced labour) to promote the economic reconstruction, 1920 - explains general features and administrative aspects of the system; surveys regulations applying to youth, men, women and girls; contains list of relevant articles.",,,ilot,161086,,,,ILO-SR/C3 ENGL,03648cam a22011174u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313603402676,992313603402676,"Coal production in the ruhr district (end of may, 1920); enquiry by the International Labour Office.",Geneva :,"ILO,",1920.,16 p.,hours of work,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_B1_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_B1_engl.pdf,,,,International Labour Organisation.,"Study of hours of work, wages and economic recovery in coal mining, Germany (the Ruhr), 1920 - reviews production increase, food security problems, cost of living trends and labour dispute; studies policies of five principal trade unions with regard to reorganisation of workers representation and nationalization of the mines.",,,ilot,160899,,,,ILO-SR/B1 ENGL,04460cam a22013214u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313643402676,992313643402676,Conditions of labour and production in the upper silesian coalfield.,Geneva :,"ILO,",1920.,22 p.,working conditions,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_B3_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_B3_engl.pdf,,,,International Labour Organisation.,"Study on working conditions, economic conditions and productivity in coal mining in Germany (Upper Silesia), 1920 - gives a brief overview of labour disputes, political problems and trade union activity since 1918 (hours of work, wages, food rationing, shift work, etc.); identifies the preconditions of industrial growth as labour supply increase, housing provision, employment service, technological change and capital investment.",,,ilot,160903,,,,ILO-SR/B3 ENGL,05738cam a22017534u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992312903402676,992312903402676,"Congress of the labour and socialist international (Geneva, July 31st-August 6th, 1920).",Geneva :,"ILO,",1920.,28 p.,socialist.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A6_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A6_engl.pdf,,,,International Labour Organisation.,"Conference report on the congress of the Second International (socialist political party), 1920 - explains the impact of socialism on international trade union and the influence of the Third International (communist) on Western unions; discusses socialist emulation, resolutions voted on international unity for unionized workers, the problem of peace and the constitution of the League of Nations, need to support the ILO, nationalization (socialisation) and the political system. Conference held in Geneva Jul 31 to Aug 6.",,,ilot,160828,,,,ILO-SR/A6 ENGL,04408cam a22012734u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/993081023402676,993081023402676,Disinfection of wool infected with anthrax spores: questionnaire.,Geneva :,"ILO,",1920.,34 P.,occupational disease,,,,,,International Labour Organisation.,"Based on data from published reports, government replies to a questionnaire, and special documents prepared by selected countries.",,,ilot,259159,,,,20B09/14 ENGL,02170cam a22006854u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/995200991902676,995200991902676,Disinfection of wool infected with anthrax spores,Geneva :,"ILO,",1920.,1 online resource (34 p.),occupational disease,,,: questionnaire /,International Labour Organization.,,International Labour Organisation.,"Based on data from published reports, government replies to a questionnaire, and special documents prepared by selected countries.",,,ilot,,[electronic resource],,,,02085cam a22006014u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992313203402676,992313203402676,Dispute in the metal industry in italy; trade union control in industry.,Geneva :,"ILO,",1920.,24 p.,dispute settlement.,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A11_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A11_engl.pdf,,,,International Labour Organisation.,"Report on the dispute settlement by state intervention, the establishing workers participation in the metalworking industry and machinery industry in Italy, 1920 - (cf. ""Studies and Reports, Series A no. 2""; gives text of the final agreement concerning job classification, discussion in the Senate and views of the Catholic party and the press, etc.",,,ilot,160859,,,,ILO-SR/A11 ENGL,03739cam a22010934u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992312783402676,992312783402676,Dispute in the metal industry in italy; trade union control of the industry.,Geneva :,"ILO,",1920.,20 p.,labour dispute,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A2_engl.pdf,http://www.ilo.org/public/libdoc/ilo/ILO-SR/ILO-SR_A2_engl.pdf,,,,International Labour Organisation.,"Report on a labour dispute between the trade unions, in the metalworking industry and machinery industry, and employers organizations in Italy, 1920 - presents the trade union claims concerning job classification, wage increase, wage incentive, minimum wage, overtime, night work,layoff, paid leave, etc.; describes the gravity of the conflict (lockout, occupation of factories, state intervention); discusses project of trade union control of the industry.",,,ilot,ilb160816,,,,ILO-SR/A2 ENGL,05512cam a22016574u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/993080923402676,993080923402676,Employment of children at sea.,London :,"Harrison,",1920.,26 P.,minimum age.,http://www.ilo.org/public/libdoc/ilo/1920/20B09_11_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_11_engl.pdf,,,,International Labour Organisation.,"Based on the replies to a questionnaire addressed to the Governments of member States, reviews the law and practice with respect to minimum age for admission of children to employment at sea. Includes the draft text of the Minimum Age (Sea) Convention, 1920 (No. 7).",,,ilot,259149,,,,20B09/11 ENGL,03439cam a22010934u 4500,1919
https://labordoc.ilo.org/discovery/delivery/41ILO_INST:41ILO_V2/992259073402676,992259073402676,Enquiry into production: introductory memorandum.,London :,"Harrison,",1920.,188 P.,ILO,http://www.ilo.org/public/libdoc/ilo/1920/20B09_1_engl.pdf,http://www.ilo.org/public/libdoc/ilo/1920/20B09_1_engl.pdf,,,,International Labour Organisation.,"Introductory memorandum on an ILO international survey of trends in industrial production, 1913 to 1920 - enlarges on the scope of the enquiry i.e. Facts, causes and solutions of problems relating to post 1918 economic recession, labour force, and employment; outlines the plan of enquiry; includes questionnaires for trade unions, employers organizations and cooperative societies. Graphs and statistical tables.",,,ilot,153393,,,,20B09/1 ENGL,04174cam a22013334u 4500,1919
